trade_name,nsqf_level,sector,keywords,demand_nagpur,demand_default,avg_monthly_wage_inr
Electrician (Domestic),4,Power,"electrician|electric|bijli|wiring|meter|switch|vidyut|electrician banna chahta hoon|bijli ka kaam",9,6,14000
Solar Panel Installer,4,Green Energy,"solar|surya|panel|renewable|installation|dhoop|solar panel|green energy",8,5,15000
Mobile Repair Technician,3,Electronics,"mobile|phone|repair|thik karna|screen|battery|mobile repair|dhurust karna",7,6,12000
Tailoring & Fashion Design,4,Apparel,"tailor|silai|kapde|stitching|darzi|fashion|silai kaam|tailoring",6,7,11000
Beautician & Wellness,4,Beauty & Wellness,"beautician|parlour|makeup|saundarya|beauty|salon|hairdressing",5,6,12000
Retail Sales Associate,3,Retail,"dukan|shop|sales|bikri|retail|customer|dukaan mein kaam",8,7,10500
Food Processing Technician,4,Food Processing,"khana|food|processing|packaging|pickle|achar|dairy|doodh|snacks banana",7,6,11500
Plumber,3,Construction,"plumber|pipe|paani|nal|leakage|plumbing kaam|water fitting",6,6,13000
Welder (Fabrication),4,Manufacturing,"welding|jodna|metal|fabrication|weld|lohar|dhaatu ka kaam",7,5,15500
Driving cum Logistics Assistant,3,Logistics,"driving|gaadi chalana|delivery|transport|truck|logistics|driver banna hai",9,7,13500
Domestic Data Entry Operator,4,IT-ITeS,"computer|typing|data entry|kampyuter|internet|office kaam|form bharna",5,5,12500
Handicrafts & Weaving,3,Handicraft,"bunai|handicraft|weaving|craft|bamboo|basket|hastkala|kaarigari",4,5,9500
